,peaking time (ns),resolution (s.p.e.)
0,6.8e-08,0.16253644798062414
1,8.400000000000001e-08,0.14807099733407983
2,1.04e-07,0.1434441032799808
3,1.24e-07,0.13096529449081143
4,1.4400000000000002e-07,0.1309935417279981
5,1.5600000000000002e-07,0.11709412551087685
6,1.72e-07,0.11976581031120088
7,2.0000000000000002e-07,0.1169061645343285
8,2.2400000000000002e-07,0.11275359277935551
9,2.6e-07,0.11649439060811571
10,3.1200000000000004e-07,0.11800092116220312
11,4.04e-07,0.12790512050096559
12,5.16e-07,0.14506709265972675
13,5.84e-07,0.1593325156670574
14,7.200000000000001e-07,0.18146958784644246
15,8.680000000000001e-07,0.21025107272566745
16,9.56e-07,0.23772113785501586
17,1.1720000000000002e-06,0.2999023137572041
